year,age_adjusted_rate,standard_error
2013,5.74604742149574,0.063224699561126
2014,6.13461488376437,0.0744467443194835
2015,6.33183184450193,0.0682854454288013
2016,7.13556631112348,0.0674390813196392
2017,6.99236791150109,0.0723785591265581
2018,5.97197509582508,0.0666372597878724
2019,5.66650736264448,0.0636115946602598
2020,6.16103067493838,0.0624675415852047
2021,6.26489550197675,0.0663849551143602
2022,5.41586979808449,0.0613480320154925
2023,4.59783035432437,0.0585302127330592
2024,3.57229331599813,0.0568851556727943
