year,age_adjusted_rate,standard_error
2013,2.69281041823777,0.072593274318479
2014,2.57079208961789,0.0775220838308424
2015,2.95559683318152,0.0912394169523201
2016,2.41679441824654,0.0693960438748136
2017,2.05108846631741,0.0714886911636604
2018,1.90932460100859,0.0811780668540835
2019,1.59459962818765,0.0799732960225822
2020,1.61739597594453,0.0830198940585177
2021,1.39008392215658,0.0744222858686475
2022,0.781259924086866,0.0791523540829324
2023,0.435994190696593,0.0573621166013185
2024,1.15161733978627,0.291289412677032
