year,age_adjusted_rate,standard_error
2013,2.26180260447375,0.0601012444861535
2014,2.09205327261304,0.0628008395519729
2015,1.95471429837977,0.057023047515681
2016,2.06780079670112,0.0571116985898554
2017,2.18832154578588,0.0922373659089129
2018,1.72714692619626,0.0499324822091749
2019,1.66910573411389,0.0532003977049844
2020,2.37074899392242,0.0675292347696977
2021,2.1531467267567,0.0510622835755275
2022,2.06076681363235,0.0536343728274601
2023,2.15293526396029,0.055535888640042
2024,2.01183756157919,0.0543388208336453
