year,age_adjusted_rate,standard_error
2013,12.2137668869711,0.0833064504567037
2014,13.8090373736414,0.0952400135433194
2015,15.7691808455788,0.0951884326192637
2016,19.8601066913042,0.110415238932027
2017,21.9567822947126,0.106729743821364
2018,21.4521302040695,0.105103100754104
2019,22.4732865326637,0.106331294777889
2020,30.0184047491091,0.120106151635901
2021,34.9084659266448,0.129438388742669
2022,35.1321694624347,0.128927783616395
2023,33.5734095313159,0.124983122679421
2024,22.8124806143974,0.104260069365698
